flightnumber,status,departure_airport_icao,departure_airport_iata,departure_airport_name,arrival_scheduledTimeLocal,arrival_actualTimeLocal,arrival_scheduledTimeUtc,arrival_actualTimeUtc,arrival_terminal,aircraft_model,airline_name,arrival_airport_icao
NH 6168,Expected,EBBR,BRU,Brussels,2022-06-15 10:30:00+02:00,2022-06-15 10:30:00+02:00,2022-06-15 08:30:00+00:00,2022-06-15 08:30:00+00:00,1,Airbus A321,ANA,EDDF
NH 6178,Expected,LSGG,GVA,Geneva,2022-06-15 10:40:00+02:00,2022-06-15 10:40:00+02:00,2022-06-15 08:40:00+00:00,2022-06-15 08:40:00+00:00,1,Embraer 190,ANA,EDDF
NH 6214,Expected,EDDM,MUC,Munich,2022-06-15 10:00:00+02:00,2022-06-15 10:00:00+02:00,2022-06-15 08:00:00+00:00,2022-06-15 08:00:00+00:00,1,Airbus A321,ANA,EDDF
NH 6228,Expected,EDDG,FMO,Münster,2022-06-15 10:55:00+02:00,2022-06-15 10:55:00+02:00,2022-06-15 08:55:00+00:00,2022-06-15 08:55:00+00:00,1,Canadair CRJ 900NG,ANA,EDDF
NH 6234,Expected,EGLC,LCY,London,2022-06-15 10:10:00+02:00,2022-06-15 10:10:00+02:00,2022-06-15 08:10:00+00:00,2022-06-15 08:10:00+00:00,1,Embraer 190,ANA,EDDF
NH 6248,Expected,LSZH,ZRH,Zurich,2022-06-15 10:35:00+02:00,2022-06-15 10:35:00+02:00,2022-06-15 08:35:00+00:00,2022-06-15 08:35:00+00:00,1,Airbus A319,ANA,EDDF
NZ 4217,Expected,KLAX,LAX,Los Angeles,2022-06-15 10:50:00+02:00,2022-06-15 10:50:00+02:00,2022-06-15 08:50:00+00:00,2022-06-15 08:50:00+00:00,1,Boeing 747-8,Air New Zealand,EDDF
LH 6793,Expected,CYYC,YYC,Calgary,2022-06-15 10:55:00+02:00,2022-06-15 10:55:00+02:00,2022-06-15 08:55:00+00:00,2022-06-15 08:55:00+00:00,1,Boeing 777-300ER,Lufthansa,EDDF
OS 7320,Expected,KLAX,LAX,Los Angeles,2022-06-15 10:50:00+02:00,2022-06-15 10:50:00+02:00,2022-06-15 08:50:00+00:00,2022-06-15 08:50:00+00:00,1,Boeing 747-8,Austrian,EDDF
OU 5467,Expected,EDDB,BER,Berlin,2022-06-15 10:55:00+02:00,2022-06-15 10:55:00+02:00,2022-06-15 08:55:00+00:00,2022-06-15 08:55:00+00:00,1,Airbus A321,Croatia,EDDF
OU 5941,Expected,CYYC,YYC,Calgary,2022-06-15 10:55:00+02:00,2022-06-15 10:55:00+02:00,2022-06-15 08:55:00+00:00,2022-06-15 08:55:00+00:00,1,Boeing 777-300ER,Croatia,EDDF
OZ 9374,Expected,LDZA,ZAG,Zagreb,2022-06-15 10:40:00+02:00,2022-06-15 10:40:00+02:00,2022-06-15 08:40:00+00:00,2022-06-15 08:40:00+00:00,1,Airbus A319,Asiana,EDDF
PK 5587,Expected,LTFM,IST,Istanbul,2022-06-15 10:15:00+02:00,2022-06-15 10:15:00+02:00,2022-06-15 08:15:00+00:00,2022-06-15 08:15:00+00:00,1,Airbus A330-300,Pakistan International,EDDF
OS 8208,Expected,CYYC,YYC,Calgary,2022-06-15 10:55:00+02:00,2022-06-15 10:55:00+02:00,2022-06-15 08:55:00+00:00,2022-06-15 08:55:00+00:00,1,Boeing 777-300ER,Austrian,EDDF
SK 3379,Expected,LEBL,BCN,Barcelona,2022-06-15 10:10:00+02:00,2022-06-15 10:10:00+02:00,2022-06-15 08:10:00+00:00,2022-06-15 08:10:00+00:00,1,Airbus A321,SAS,EDDF
SK 9306,Expected,LDZA,ZAG,Zagreb,2022-06-15 10:40:00+02:00,2022-06-15 10:40:00+02:00,2022-06-15 08:40:00+00:00,2022-06-15 08:40:00+00:00,1,Airbus A319,SAS,EDDF
SN 7251,Expected,KLAX,LAX,Los Angeles,2022-06-15 10:50:00+02:00,2022-06-15 10:50:00+02:00,2022-06-15 08:50:00+00:00,2022-06-15 08:50:00+00:00,1,Boeing 747-8,Brussels,EDDF
SQ 2045,Expected,LSGG,GVA,Geneva,2022-06-15 10:40:00+02:00,2022-06-15 10:40:00+02:00,2022-06-15 08:40:00+00:00,2022-06-15 08:40:00+00:00,1,Embraer 190,Singapore,EDDF
SQ 2113,Expected,EDDM,MUC,Munich,2022-06-15 10:00:00+02:00,2022-06-15 10:00:00+02:00,2022-06-15 08:00:00+00:00,2022-06-15 08:00:00+00:00,1,Airbus A321,Singapore,EDDF
