flightnumber,status,departure_airport_icao,departure_airport_iata,departure_airport_name,arrival_scheduledTimeLocal,arrival_actualTimeLocal,arrival_scheduledTimeUtc,arrival_actualTimeUtc,arrival_terminal,aircraft_model,airline_name,arrival_airport_icao
LH 595,Expected,DNAA,ABV,Abuja,2022-06-15 05:30:00+02:00,2022-06-15 05:30:00+02:00,2022-06-15 03:30:00+00:00,2022-06-15 03:30:00+00:00,1,Airbus A330-300,Lufthansa,EDDF
LH 569,Expected,DNMM,LOS,Lagos,2022-06-15 06:25:00+02:00,2022-06-15 06:25:00+02:00,2022-06-15 04:25:00+00:00,2022-06-15 04:25:00+00:00,1,Airbus A330-300,Lufthansa,EDDF
LH 1327,Expected,DTTA,TUN,Tunis,2022-06-15 05:40:00+02:00,2022-06-15 05:40:00+02:00,2022-06-15 03:40:00+00:00,2022-06-15 03:40:00+00:00,1,Airbus A319,Lufthansa,EDDF
TU 744,Expected,DTTA,TUN,Tunis,2022-06-15 11:30:00+02:00,2022-06-15 11:30:00+02:00,2022-06-15 09:30:00+00:00,2022-06-15 09:30:00+00:00,2,Airbus A319,Tunisair,EDDF
AC 6340,Expected,EBBR,BRU,Brussels,2022-06-15 08:10:00+02:00,2022-06-15 08:10:00+02:00,2022-06-15 06:10:00+00:00,2022-06-15 06:10:00+00:00,1,Airbus A320,Air Canada,EDDF
LH 5587,Expected,EBBR,BRU,Brussels,2022-06-15 08:10:00+02:00,2022-06-15 08:10:00+02:00,2022-06-15 06:10:00+00:00,2022-06-15 06:10:00+00:00,1,Airbus A320,Lufthansa,EDDF
SN 2607,Expected,EBBR,BRU,Brussels,2022-06-15 08:10:00+02:00,2022-06-15 08:10:00+02:00,2022-06-15 06:10:00+00:00,2022-06-15 06:10:00+00:00,1,Airbus A320,Brussels,EDDF
A3 1431,Expected,EBBR,BRU,Brussels,2022-06-15 09:15:00+02:00,2022-06-15 09:15:00+02:00,2022-06-15 07:15:00+00:00,2022-06-15 07:15:00+00:00,1,Airbus A319,Aegean,EDDF
AC 9323,Expected,EBBR,BRU,Brussels,2022-06-15 09:15:00+02:00,2022-06-15 09:15:00+02:00,2022-06-15 07:15:00+00:00,2022-06-15 07:15:00+00:00,1,Airbus A319,Air Canada,EDDF
LH 1005,Expected,EBBR,BRU,Brussels,2022-06-15 09:15:00+02:00,2022-06-15 09:15:00+02:00,2022-06-15 07:15:00+00:00,2022-06-15 07:15:00+00:00,1,Airbus A319,Lufthansa,EDDF
SN 7017,Expected,EBBR,BRU,Brussels,2022-06-15 09:15:00+02:00,2022-06-15 09:15:00+02:00,2022-06-15 07:15:00+00:00,2022-06-15 07:15:00+00:00,1,Airbus A319,Brussels,EDDF
UA 9570,Expected,EBBR,BRU,Brussels,2022-06-15 09:15:00+02:00,2022-06-15 09:15:00+02:00,2022-06-15 07:15:00+00:00,2022-06-15 07:15:00+00:00,1,Airbus A319,United,EDDF
LH 1007,Expected,EBBR,BRU,Brussels,2022-06-15 10:30:00+02:00,2022-06-15 10:30:00+02:00,2022-06-15 08:30:00+00:00,2022-06-15 08:30:00+00:00,1,Airbus A321,Lufthansa,EDDF
SN 7001,Expected,EBBR,BRU,Brussels,2022-06-15 10:30:00+02:00,2022-06-15 10:30:00+02:00,2022-06-15 08:30:00+00:00,2022-06-15 08:30:00+00:00,1,Airbus A321,Brussels,EDDF
SQ 2037,Expected,EBBR,BRU,Brussels,2022-06-15 10:30:00+02:00,2022-06-15 10:30:00+02:00,2022-06-15 08:30:00+00:00,2022-06-15 08:30:00+00:00,1,Airbus A321,Singapore,EDDF
UA 8774,Expected,EBBR,BRU,Brussels,2022-06-15 10:30:00+02:00,2022-06-15 10:30:00+02:00,2022-06-15 08:30:00+00:00,2022-06-15 08:30:00+00:00,1,Airbus A321,United,EDDF
LH 173,Expected,EDDB,BER,Berlin,2022-06-15 07:55:00+02:00,2022-06-15 07:55:00+02:00,2022-06-15 05:55:00+00:00,2022-06-15 05:55:00+00:00,1,Airbus A321,Lufthansa,EDDF
LH 175,Expected,EDDB,BER,Berlin,2022-06-15 08:55:00+02:00,2022-06-15 08:55:00+02:00,2022-06-15 06:55:00+00:00,2022-06-15 06:55:00+00:00,1,Airbus A319,Lufthansa,EDDF
LH 45,Expected,EDDB,BER,Berlin,2022-06-15 08:25:00+02:00,2022-06-15 08:25:00+02:00,2022-06-15 06:25:00+00:00,2022-06-15 06:25:00+00:00,1,Airbus A320 NEO,Lufthansa,EDDF
LH 177,Expected,EDDB,BER,Berlin,2022-06-15 09:55:00+02:00,2022-06-15 09:55:00+02:00,2022-06-15 07:55:00+00:00,2022-06-15 07:55:00+00:00,1,Airbus A321,Lufthansa,EDDF
LH 187,Expected,EDDB,BER,Berlin,2022-06-15 10:55:00+02:00,2022-06-15 10:55:00+02:00,2022-06-15 08:55:00+00:00,2022-06-15 08:55:00+00:00,1,Airbus A321,Lufthansa,EDDF
LH 183,Expected,EDDB,BER,Berlin,2022-06-15 11:55:00+02:00,2022-06-15 11:55:00+02:00,2022-06-15 09:55:00+00:00,2022-06-15 09:55:00+00:00,1,Airbus A321,Lufthansa,EDDF
LH 207,Expected,EDDC,DRS,Dresden,2022-06-15 07:15:00+02:00,2022-06-15 07:15:00+02:00,2022-06-15 05:15:00+00:00,2022-06-15 05:15:00+00:00,1,Airbus A320 (Sharklets),Lufthansa,EDDF
LH 209,Expected,EDDC,DRS,Dresden,2022-06-15 09:45:00+02:00,2022-06-15 09:45:00+02:00,2022-06-15 07:45:00+00:00,2022-06-15 07:45:00+00:00,1,Airbus A320 NEO,Lufthansa,EDDF
LH 211,Expected,EDDC,DRS,Dresden,2022-06-15 11:55:00+02:00,2022-06-15 11:55:00+02:00,2022-06-15 09:55:00+00:00,2022-06-15 09:55:00+00:00,1,Embraer 190,Lufthansa,EDDF
LH 65,Expected,EDDG,FMO,Münster,2022-06-15 10:55:00+02:00,2022-06-15 10:55:00+02:00,2022-06-15 08:55:00+00:00,2022-06-15 08:55:00+00:00,1,Canadair CRJ 900NG,Lufthansa,EDDF
LH 1,Expected,EDDH,HAM,Hamburg,2022-06-15 07:10:00+02:00,2022-06-15 07:10:00+02:00,2022-06-15 05:10:00+00:00,2022-06-15 05:10:00+00:00,1,Airbus A321 (Sharklets),Lufthansa,EDDF
LH 5,Expected,EDDH,HAM,Hamburg,2022-06-15 08:40:00+02:00,2022-06-15 08:40:00+02:00,2022-06-15 06:40:00+00:00,2022-06-15 06:40:00+00:00,1,Airbus A321,Lufthansa,EDDF
LH 9,Expected,EDDH,HAM,Hamburg,2022-06-15 09:30:00+02:00,2022-06-15 09:30:00+02:00,2022-06-15 07:30:00+00:00,2022-06-15 07:30:00+00:00,1,Airbus A320 (Sharklets),Lufthansa,EDDF
LH 11,Expected,EDDH,HAM,Hamburg,2022-06-15 10:30:00+02:00,2022-06-15 10:30:00+02:00,2022-06-15 08:30:00+00:00,2022-06-15 08:30:00+00:00,1,Airbus A320,Lufthansa,EDDF
LH 19,Expected,EDDH,HAM,Hamburg,2022-06-15 11:10:00+02:00,2022-06-15 11:10:00+02:00,2022-06-15 09:10:00+00:00,2022-06-15 09:10:00+00:00,1,Airbus A321,Lufthansa,EDDF
LH 73,Expected,EDDL,DUS,Duesseldorf,2022-06-15 06:50:00+02:00,2022-06-15 06:50:00+02:00,2022-06-15 04:50:00+00:00,2022-06-15 04:50:00+00:00,1,Airbus A319,Lufthansa,EDDF
LH 79,Expected,EDDL,DUS,Duesseldorf,2022-06-15 09:25:00+02:00,2022-06-15 09:25:00+02:00,2022-06-15 07:25:00+00:00,2022-06-15 07:25:00+00:00,1,Airbus A321,Lufthansa,EDDF
LH 77,Expected,EDDL,DUS,Duesseldorf,2022-06-15 11:25:00+02:00,2022-06-15 11:25:00+02:00,2022-06-15 09:25:00+00:00,2022-06-15 09:25:00+00:00,1,Airbus A320 (sharklets),Lufthansa,EDDF
LH 93,Expected,EDDM,MUC,Munich,2022-06-15 08:00:00+02:00,2022-06-15 08:00:00+02:00,2022-06-15 06:00:00+00:00,2022-06-15 06:00:00+00:00,1,Airbus A321,Lufthansa,EDDF
LH 95,Expected,EDDM,MUC,Munich,2022-06-15 09:00:00+02:00,2022-06-15 09:00:00+02:00,2022-06-15 07:00:00+00:00,2022-06-15 07:00:00+00:00,1,Airbus A321 (Sharklets),Lufthansa,EDDF
LH 107,Expected,EDDM,MUC,Munich,2022-06-15 10:00:00+02:00,2022-06-15 10:00:00+02:00,2022-06-15 08:00:00+00:00,2022-06-15 08:00:00+00:00,1,Airbus A321,Lufthansa,EDDF
LH 103,Expected,EDDM,MUC,Munich,2022-06-15 12:00:00+02:00,2022-06-15 12:00:00+02:00,2022-06-15 10:00:00+00:00,2022-06-15 10:00:00+00:00,1,Airbus A320 (sharklets),Lufthansa,EDDF
LH 143,Expected,EDDN,NUE,Nuremberg,2022-06-15 06:55:00+02:00,2022-06-15 06:55:00+02:00,2022-06-15 04:55:00+00:00,2022-06-15 04:55:00+00:00,1,Embraer 190,Lufthansa,EDDF
LH 145,Expected,EDDN,NUE,Nuremberg,2022-06-15 09:10:00+02:00,2022-06-15 09:10:00+02:00,2022-06-15 07:10:00+00:00,2022-06-15 07:10:00+00:00,1,Embraer 190,Lufthansa,EDDF
LH 159,Expected,EDDP,LEJ,Leipzig,2022-06-15 09:30:00+02:00,2022-06-15 09:30:00+02:00,2022-06-15 07:30:00+00:00,2022-06-15 07:30:00+00:00,1,Canadair CRJ 900,Lufthansa,EDDF
LH 161,Expected,EDDP,LEJ,Leipzig,2022-06-15 11:35:00+02:00,2022-06-15 11:35:00+02:00,2022-06-15 09:35:00+00:00,2022-06-15 09:35:00+00:00,1,Bombardier CRJ900,Lufthansa,EDDF
LH 127,Expected,EDDS,STR,Stuttgart,2022-06-15 06:55:00+02:00,2022-06-15 06:55:00+02:00,2022-06-15 04:55:00+00:00,2022-06-15 04:55:00+00:00,1,Airbus A319,Lufthansa,EDDF
LH 131,Expected,EDDS,STR,Stuttgart,2022-06-15 09:15:00+02:00,2022-06-15 09:15:00+02:00,2022-06-15 07:15:00+00:00,2022-06-15 07:15:00+00:00,1,Airbus A320 (Sharklets),Lufthansa,EDDF
LH 133,Expected,EDDS,STR,Stuttgart,2022-06-15 11:35:00+02:00,2022-06-15 11:35:00+02:00,2022-06-15 09:35:00+00:00,2022-06-15 09:35:00+00:00,1,Airbus A319,Lufthansa,EDDF
LH 49,Expected,EDDV,HAJ,Hanover,2022-06-15 07:05:00+02:00,2022-06-15 07:05:00+02:00,2022-06-15 05:05:00+00:00,2022-06-15 05:05:00+00:00,1,Airbus A319,Lufthansa,EDDF
LH 51,Expected,EDDV,HAJ,Hanover,2022-06-15 09:25:00+02:00,2022-06-15 09:25:00+02:00,2022-06-15 07:25:00+00:00,2022-06-15 07:25:00+00:00,1,Canadair CRJ 900NG,Lufthansa,EDDF
LH 53,Expected,EDDV,HAJ,Hanover,2022-06-15 11:35:00+02:00,2022-06-15 11:35:00+02:00,2022-06-15 09:35:00+00:00,2022-06-15 09:35:00+00:00,1,Airbus A319,Lufthansa,EDDF
LH 353,Expected,EDDW,BRE,Bremen,2022-06-15 09:15:00+02:00,2022-06-15 09:15:00+02:00,2022-06-15 07:15:00+00:00,2022-06-15 07:15:00+00:00,1,Canadair CRJ 900NG,Lufthansa,EDDF
LH 371,Expected,EDNY,FDH,Friedrichshafen,2022-06-15 07:00:00+02:00,2022-06-15 07:00:00+02:00,2022-06-15 05:00:00+00:00,2022-06-15 05:00:00+00:00,1,Canadair CRJ 900,Lufthansa,EDDF
LH 885,Expected,EETN,TLL,Tallinn,2022-06-15 07:35:00+02:00,2022-06-15 07:35:00+02:00,2022-06-15 05:35:00+00:00,2022-06-15 05:35:00+00:00,1,Airbus A320 (Sharklets),Lufthansa,EDDF
A3 1465,Expected,EFHK,HEL,Helsinki,2022-06-15 08:05:00+02:00,2022-06-15 08:05:00+02:00,2022-06-15 06:05:00+00:00,2022-06-15 06:05:00+00:00,1,Airbus A320 (Sharklets),Aegean,EDDF
EY 4184,Expected,EFHK,HEL,Helsinki,2022-06-15 08:05:00+02:00,2022-06-15 08:05:00+02:00,2022-06-15 06:05:00+00:00,2022-06-15 06:05:00+00:00,1,Airbus A320 (Sharklets),Etihad Airways,EDDF
LH 855,Expected,EFHK,HEL,Helsinki,2022-06-15 08:05:00+02:00,2022-06-15 08:05:00+02:00,2022-06-15 06:05:00+00:00,2022-06-15 06:05:00+00:00,1,Airbus A320 (Sharklets),Lufthansa,EDDF
OS 7440,Expected,EFHK,HEL,Helsinki,2022-06-15 08:05:00+02:00,2022-06-15 08:05:00+02:00,2022-06-15 06:05:00+00:00,2022-06-15 06:05:00+00:00,1,Airbus A320 (Sharklets),Austrian,EDDF
TP 7909,Expected,EFHK,HEL,Helsinki,2022-06-15 08:05:00+02:00,2022-06-15 08:05:00+02:00,2022-06-15 06:05:00+00:00,2022-06-15 06:05:00+00:00,1,Airbus A320 (Sharklets),TAP Air Portugal,EDDF
UA 9047,Expected,EFHK,HEL,Helsinki,2022-06-15 08:05:00+02:00,2022-06-15 08:05:00+02:00,2022-06-15 06:05:00+00:00,2022-06-15 06:05:00+00:00,1,Airbus A320 (Sharklets),United,EDDF
WY 5514,Expected,EFHK,HEL,Helsinki,2022-06-15 08:05:00+02:00,2022-06-15 08:05:00+02:00,2022-06-15 06:05:00+00:00,2022-06-15 06:05:00+00:00,1,Airbus A320 (Sharklets),Oman Air,EDDF
AY 1411,Expected,EFHK,HEL,Helsinki,2022-06-15 09:20:00+02:00,2022-06-15 09:20:00+02:00,2022-06-15 07:20:00+00:00,2022-06-15 07:20:00+00:00,2,Airbus A320,Finnair,EDDF
AC 9606,Expected,EGBB,BHX,Birmingham,2022-06-15 08:30:00+02:00,2022-06-15 08:30:00+02:00,2022-06-15 06:30:00+00:00,2022-06-15 06:30:00+00:00,1,Embraer 190,Air Canada,EDDF
LH 959,Expected,EGBB,BHX,Birmingham,2022-06-15 08:30:00+02:00,2022-06-15 08:30:00+02:00,2022-06-15 06:30:00+00:00,2022-06-15 06:30:00+00:00,1,Embraer 190,Lufthansa,EDDF
NH 6240,Expected,EGBB,BHX,Birmingham,2022-06-15 08:30:00+02:00,2022-06-15 08:30:00+02:00,2022-06-15 06:30:00+00:00,2022-06-15 06:30:00+00:00,1,Embraer 190,ANA,EDDF
SQ 2149,Expected,EGBB,BHX,Birmingham,2022-06-15 08:30:00+02:00,2022-06-15 08:30:00+02:00,2022-06-15 06:30:00+00:00,2022-06-15 06:30:00+00:00,1,Embraer 190,Singapore,EDDF
UA 8808,Expected,EGBB,BHX,Birmingham,2022-06-15 08:30:00+02:00,2022-06-15 08:30:00+02:00,2022-06-15 06:30:00+00:00,2022-06-15 06:30:00+00:00,1,Embraer 190,United,EDDF
LH 949,Expected,EGCC,MAN,Manchester,2022-06-15 08:50:00+02:00,2022-06-15 08:50:00+02:00,2022-06-15 06:50:00+00:00,2022-06-15 06:50:00+00:00,1,Airbus A321,Lufthansa,EDDF
NH 6236,Expected,EGCC,MAN,Manchester,2022-06-15 08:50:00+02:00,2022-06-15 08:50:00+02:00,2022-06-15 06:50:00+00:00,2022-06-15 06:50:00+00:00,1,Airbus A321,ANA,EDDF
OS 7372,Expected,EGCC,MAN,Manchester,2022-06-15 08:50:00+02:00,2022-06-15 08:50:00+02:00,2022-06-15 06:50:00+00:00,2022-06-15 06:50:00+00:00,1,Airbus A321,Austrian,EDDF
LH 941,Expected,EGCC,MAN,Manchester,2022-06-15 11:50:00+02:00,2022-06-15 11:50:00+02:00,2022-06-15 09:50:00+00:00,2022-06-15 09:50:00+00:00,1,Airbus A319,Lufthansa,EDDF
OS 7378,Expected,EGCC,MAN,Manchester,2022-06-15 11:50:00+02:00,2022-06-15 11:50:00+02:00,2022-06-15 09:50:00+00:00,2022-06-15 09:50:00+00:00,1,Airbus A319,Austrian,EDDF
UA 9337,Expected,EGCC,MAN,Manchester,2022-06-15 11:50:00+02:00,2022-06-15 11:50:00+02:00,2022-06-15 09:50:00+00:00,2022-06-15 09:50:00+00:00,1,Airbus A319,United,EDDF
LH 969,Expected,EGGP,LPL,Liverpool,2022-06-15 11:25:00+02:00,2022-06-15 11:25:00+02:00,2022-06-15 09:25:00+00:00,2022-06-15 09:25:00+00:00,1,Bombardier CRJ900,Lufthansa,EDDF
LH 927,Expected,EGLC,LCY,London,2022-06-15 10:10:00+02:00,2022-06-15 10:10:00+02:00,2022-06-15 08:10:00+00:00,2022-06-15 08:10:00+00:00,1,Embraer 190,Lufthansa,EDDF
BA 8761,Expected,EGLC,LCY,London,2022-06-15 10:40:00+02:00,2022-06-15 10:40:00+02:00,2022-06-15 08:40:00+00:00,2022-06-15 08:40:00+00:00,2,Embraer 190,British Airways,EDDF
LH 929,Expected,EGLC,LCY,London,2022-06-15 11:35:00+02:00,2022-06-15 11:35:00+02:00,2022-06-15 09:35:00+00:00,2022-06-15 09:35:00+00:00,1,Embraer 190,Lufthansa,EDDF
LH 921,Expected,EGLL,LHR,London,2022-06-15 09:05:00+02:00,2022-06-15 09:05:00+02:00,2022-06-15 07:05:00+00:00,2022-06-15 07:05:00+00:00,1,Airbus A319,Lufthansa,EDDF
OU 5489,Expected,EGLL,LHR,London,2022-06-15 09:05:00+02:00,2022-06-15 09:05:00+02:00,2022-06-15 07:05:00+00:00,2022-06-15 07:05:00+00:00,1,Airbus A319,Croatia,EDDF
UA 9546,Expected,EGLL,LHR,London,2022-06-15 09:05:00+02:00,2022-06-15 09:05:00+02:00,2022-06-15 07:05:00+00:00,2022-06-15 07:05:00+00:00,1,Airbus A319,United,EDDF
BA 902,Expected,EGLL,LHR,London,2022-06-15 09:40:00+02:00,2022-06-15 09:40:00+02:00,2022-06-15 07:40:00+00:00,2022-06-15 07:40:00+00:00,2,Airbus A319,British Airways,EDDF
LH 925,Expected,EGLL,LHR,London,2022-06-15 11:05:00+02:00,2022-06-15 11:05:00+02:00,2022-06-15 09:05:00+00:00,2022-06-15 09:05:00+00:00,1,Airbus A320 NEO,Lufthansa,EDDF
OU 5491,Expected,EGLL,LHR,London,2022-06-15 11:05:00+02:00,2022-06-15 11:05:00+02:00,2022-06-15 09:05:00+00:00,2022-06-15 09:05:00+00:00,1,Airbus A320 NEO,Croatia,EDDF
UA 9232,Expected,EGLL,LHR,London,2022-06-15 11:05:00+02:00,2022-06-15 11:05:00+02:00,2022-06-15 09:05:00+00:00,2022-06-15 09:05:00+00:00,1,Airbus A320 NEO,United,EDDF
KL 1763,Expected,EHAM,AMS,Amsterdam,2022-06-15 09:35:00+02:00,2022-06-15 09:35:00+02:00,2022-06-15 07:35:00+00:00,2022-06-15 07:35:00+00:00,2,E295,KLM,EDDF
KL 1765,Expected,EHAM,AMS,Amsterdam,2022-06-15 11:00:00+02:00,2022-06-15 11:00:00+02:00,2022-06-15 09:00:00+00:00,2022-06-15 09:00:00+00:00,2,Embraer 175,KLM,EDDF
LH 987,Expected,EHAM,AMS,Amsterdam,2022-06-15 11:10:00+02:00,2022-06-15 11:10:00+02:00,2022-06-15 09:10:00+00:00,2022-06-15 09:10:00+00:00,1,Airbus A320 NEO,Lufthansa,EDDF
LH 983,Expected,EIDW,DUB,Dublin,2022-06-15 08:50:00+02:00,2022-06-15 08:50:00+02:00,2022-06-15 06:50:00+00:00,2022-06-15 06:50:00+00:00,1,Airbus A320,Lufthansa,EDDF
EI 650,Expected,EIDW,DUB,Dublin,2022-06-15 10:10:00+02:00,2022-06-15 10:10:00+02:00,2022-06-15 08:10:00+00:00,2022-06-15 08:10:00+00:00,2,Airbus A320,Aer Lingus,EDDF
LH 843,Expected,EKBI,BLL,Billund,2022-06-15 07:45:00+02:00,2022-06-15 07:45:00+02:00,2022-06-15 05:45:00+00:00,2022-06-15 05:45:00+00:00,1,Airbus A321 (Sharklets),Lufthansa,EDDF
LH 833,Expected,EKCH,CPH,Copenhagen,2022-06-15 07:55:00+02:00,2022-06-15 07:55:00+02:00,2022-06-15 05:55:00+00:00,2022-06-15 05:55:00+00:00,1,Airbus A321 (Sharklets),Lufthansa,EDDF
LH 825,Expected,EKCH,CPH,Copenhagen,2022-06-15 11:05:00+02:00,2022-06-15 11:05:00+02:00,2022-06-15 09:05:00+00:00,2022-06-15 09:05:00+00:00,1,Airbus A320 (sharklets),Lufthansa,EDDF
LH 399,Expected,ELLX,LUX,Luxembourg,2022-06-15 07:10:00+02:00,2022-06-15 07:10:00+02:00,2022-06-15 05:10:00+00:00,2022-06-15 05:10:00+00:00,1,Embraer 190,Lufthansa,EDDF
LH 393,Expected,ELLX,LUX,Luxembourg,2022-06-15 12:00:00+02:00,2022-06-15 12:00:00+02:00,2022-06-15 10:00:00+00:00,2022-06-15 10:00:00+00:00,1,Bombardier CRJ900,Lufthansa,EDDF
LH 877,Expected,ENBR,BGO,Bergen,2022-06-15 08:15:00+02:00,2022-06-15 08:15:00+02:00,2022-06-15 06:15:00+00:00,2022-06-15 06:15:00+00:00,1,Airbus A319,Lufthansa,EDDF
LH 865,Expected,ENGM,OSL,Oslo,2022-06-15 08:50:00+02:00,2022-06-15 08:50:00+02:00,2022-06-15 06:50:00+00:00,2022-06-15 06:50:00+00:00,1,Airbus A320 (Sharklets),Lufthansa,EDDF
LH 859,Expected,ENGM,OSL,Oslo,2022-06-15 12:00:00+02:00,2022-06-15 12:00:00+02:00,2022-06-15 10:00:00+00:00,2022-06-15 10:00:00+00:00,1,Airbus A320 (sharklets),Lufthansa,EDDF
LH 879,Expected,ENZV,SVG,Stavanger,2022-06-15 11:25:00+02:00,2022-06-15 11:25:00+02:00,2022-06-15 09:25:00+00:00,2022-06-15 09:25:00+00:00,1,Airbus A320 (sharklets),Lufthansa,EDDF
LH 1379,Expected,EPGD,GDN,Gdańsk,2022-06-15 08:30:00+02:00,2022-06-15 08:30:00+02:00,2022-06-15 06:30:00+00:00,2022-06-15 06:30:00+00:00,1,Embraer 190,Lufthansa,EDDF
LH 1371,Expected,EPKK,KRK,Kraków,2022-06-15 07:35:00+02:00,2022-06-15 07:35:00+02:00,2022-06-15 05:35:00+00:00,2022-06-15 05:35:00+00:00,1,Airbus A320 (Sharklets),Lufthansa,EDDF
LH 1381,Expected,EPPO,POZ,Poznań,2022-06-15 07:45:00+02:00,2022-06-15 07:45:00+02:00,2022-06-15 05:45:00+00:00,2022-06-15 05:45:00+00:00,1,Canadair CRJ 900NG,Lufthansa,EDDF
LH 1353,Expected,EPWA,WAW,Warsaw,2022-06-15 08:15:00+02:00,2022-06-15 08:15:00+02:00,2022-06-15 06:15:00+00:00,2022-06-15 06:15:00+00:00,1,Airbus A320 (Sharklets),Lufthansa,EDDF
LO 381,Expected,EPWA,WAW,Warsaw,2022-06-15 09:40:00+02:00,2022-06-15 09:40:00+02:00,2022-06-15 07:40:00+00:00,2022-06-15 07:40:00+00:00,1,Embraer 190,LOT - Polish,EDDF
LH 1347,Expected,EPWA,WAW,Warsaw,2022-06-15 11:35:00+02:00,2022-06-15 11:35:00+02:00,2022-06-15 09:35:00+00:00,2022-06-15 09:35:00+00:00,1,Airbus A321,Lufthansa,EDDF
LH 1375,Expected,EPWR,WRO,Wrocław,2022-06-15 07:55:00+02:00,2022-06-15 07:55:00+02:00,2022-06-15 05:55:00+00:00,2022-06-15 05:55:00+00:00,1,Canadair CRJ 900NG,Lufthansa,EDDF
LH 821,Expected,ESGG,GOT,Goteborg,2022-06-15 07:45:00+02:00,2022-06-15 07:45:00+02:00,2022-06-15 05:45:00+00:00,2022-06-15 05:45:00+00:00,1,Airbus A321,Lufthansa,EDDF
LH 809,Expected,ESSA,ARN,Stockholm,2022-06-15 08:15:00+02:00,2022-06-15 08:15:00+02:00,2022-06-15 06:15:00+00:00,2022-06-15 06:15:00+00:00,1,Airbus A320 NEO,Lufthansa,EDDF
LH 801,Expected,ESSA,ARN,Stockholm,2022-06-15 12:00:00+02:00,2022-06-15 12:00:00+02:00,2022-06-15 10:00:00+00:00,2022-06-15 10:00:00+00:00,1,Airbus A321,Lufthansa,EDDF
SK 635,Expected,ESSA,ARN,Stockholm,2022-06-15 11:15:00+02:00,2022-06-15 11:15:00+02:00,2022-06-15 09:15:00+00:00,2022-06-15 09:15:00+00:00,1,BCS3,SAS,EDDF
BT 243,Expected,EVRA,RIX,Riga,2022-06-15 09:10:00+02:00,2022-06-15 09:10:00+02:00,2022-06-15 07:10:00+00:00,2022-06-15 07:10:00+00:00,2,BCS3,Air Baltic,EDDF
LH 889,Expected,EYVI,VNO,Vilnius,2022-06-15 07:15:00+02:00,2022-06-15 07:15:00+02:00,2022-06-15 05:15:00+00:00,2022-06-15 05:15:00+00:00,1,Airbus A321 (Sharklets),Lufthansa,EDDF
DE 2291,Unknown,FACT,CPT,Cape Town,2022-06-15 05:25:00+02:00,,2022-06-15 03:25:00+00:00,,1,Airbus A330-900,Condor,EDDF
LH 573,Expected,FAOR,JNB,Jo'anna,2022-06-15 05:35:00+02:00,2022-06-15 05:35:00+02:00,2022-06-15 03:35:00+00:00,2022-06-15 03:35:00+00:00,1,Boeing 747-8,Lufthansa,EDDF
LH 1331,Expected,GMMN,CMN,Casablanca,2022-06-15 05:55:00+02:00,2022-06-15 05:55:00+02:00,2022-06-15 03:55:00+00:00,2022-06-15 03:55:00+00:00,1,Airbus A320 NEO,Lufthansa,EDDF
ET 706,Expected,HAAB,ADD,Addis Ababa,2022-06-15 05:55:00+02:00,2022-06-15 05:55:00+02:00,2022-06-15 03:55:00+00:00,2022-06-15 03:55:00+00:00,1,Airbus A350-900,Ethiopian,EDDF
LH 585,Expected,HECA,CAI,Cairo,2022-06-15 08:45:00+02:00,2022-06-15 08:45:00+02:00,2022-06-15 06:45:00+00:00,2022-06-15 06:45:00+00:00,1,Airbus A321 NEO,Lufthansa,EDDF
LH 591,Expected,HKJK,NBO,Nairobi,2022-06-15 05:40:00+02:00,2022-06-15 05:40:00+02:00,2022-06-15 03:40:00+00:00,2022-06-15 03:40:00+00:00,1,Airbus A330,Lufthansa,EDDF
DL 14,Expected,KATL,ATL,Atlanta,2022-06-15 08:40:00+02:00,2022-06-15 08:40:00+02:00,2022-06-15 06:40:00+00:00,2022-06-15 06:40:00+00:00,2,Airbus A330-200,Delta Air Lines,EDDF
LH 423,Expected,KBOS,BOS,Boston,2022-06-15 06:20:00+02:00,2022-06-15 06:20:00+02:00,2022-06-15 04:20:00+00:00,2022-06-15 04:20:00+00:00,1,Boeing 747,Lufthansa,EDDF
UA 182,Expected,KDEN,DEN,Denver,2022-06-15 09:20:00+02:00,2022-06-15 09:20:00+02:00,2022-06-15 07:20:00+00:00,2022-06-15 07:20:00+00:00,1,Boeing 787-9,United,EDDF
LH 447,Expected,KDEN,DEN,Denver,2022-06-15 11:50:00+02:00,2022-06-15 11:50:00+02:00,2022-06-15 09:50:00+00:00,2022-06-15 09:50:00+00:00,1,Airbus A340-300,Lufthansa,EDDF
AA 70,Expected,KDFW,DFW,Dallas-Fort Worth,2022-06-15 07:20:00+02:00,2022-06-15 07:20:00+02:00,2022-06-15 05:20:00+00:00,2022-06-15 05:20:00+00:00,2,Boeing 777-200,American,EDDF
DL 86,Expected,KDTW,DTW,Detroit,2022-06-15 08:55:00+02:00,2022-06-15 08:55:00+02:00,2022-06-15 06:55:00+00:00,2022-06-15 06:55:00+00:00,2,Airbus A330-200,Delta Air Lines,EDDF
LH 403,Expected,KEWR,EWR,Newark,2022-06-15 07:30:00+02:00,2022-06-15 07:30:00+02:00,2022-06-15 05:30:00+00:00,2022-06-15 05:30:00+00:00,1,Boeing 747,Lufthansa,EDDF
